Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,88,84,101,121,164,69,232,0.0,False
jmeter_view_page:open_page,5290,217,205,288,321,420,121,821,0.0,False
jmeter_view_blog,2072,385,391,500,535,609,128,870,0.0,False
jmeter_view_dashboard,1597,72,66,99,115,136,52,185,0.0,False
jmeter_comment_page,1275,33,31,41,45,68,22,94,0.0,False
jmeter_view_attachment,956,146,136,197,220,280,89,738,0.0,False
jmeter_search_cql:recently_viewed,637,13,13,16,18,30,3,61,0.0,False
jmeter_search_cql:search_results,637,3772,3510,5433,9150,11479,165,25001,0.0,False
jmeter_create_and_edit_page:create_page_editor,1431,74,70,90,97,132,57,164,0.0,False
jmeter_create_and_edit_page:create_page,1431,190,184,222,238,271,143,501,0.0,False
jmeter_create_and_edit_page:open_editor,1431,13,13,16,18,25,9,74,0.0,False
jmeter_create_and_edit_page:edit_page,1431,211,205,245,260,301,169,372,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1430,196,192,221,233,257,166,327,0.0,False
jmeter_create_blog:blog_editor,796,89,85,103,109,146,71,271,0.0,False
jmeter_create_blog:feel_and_publish,796,279,290,364,380,428,146,503,0.0,False
jmeter_upload_attachment,1079,291,278,414,452,535,151,693,0.0,False
jmeter_like_page,463,22,21,25,28,38,8,79,0.0,False
jmeter_upload_emoji,311,105,100,131,143,169,77,226,0.0,False
selenium_login:open_login_page,102,85,80,90,92,199,71,402,0.0,False
selenium_login:login_and_view_dashboard,102,164,156,173,175,239,139,739,0.0,False
selenium_view_blog,102,590,626,740,767,813,301,852,0.0,False
selenium_view_dashboard,102,130,128,144,151,189,112,195,0.0,False
selenium_view_page,102,296,287,349,361,431,209,444,0.0,False
selenium_view_page_from_cache,102,258,252,327,345,354,194,381,0.0,False
selenium_create_page:open_create_page_editor,102,301,285,333,402,512,237,1038,0.0,False
selenium_create_page:save_created_page,102,178,176,197,205,225,148,240,0.0,False
selenium_edit_page_by_url:open_create_page_editor,102,253,244,290,308,382,209,445,0.0,False
selenium_edit_page_by_url:save_edited_page,102,273,258,326,385,452,203,581,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,102,254,237,329,360,450,187,463,0.0,False
selenium_quick_edit_page_click:save_edited_page,102,252,232,318,350,392,195,401,0.0,False
selenium_create_comment:write_comment,102,1340,1335,1876,1951,2044,613,2227,0.0,False
selenium_create_comment:save_comment,102,597,596,605,612,644,586,649,0.0,False
selenium_create_comment,102,2355,2371,2884,3004,3098,1576,3206,0.0,False
selenium_cql_search,102,4518,4664,6055,6483,6763,1335,6839,0.0,False
selenium_log_out,102,169,167,182,188,191,151,224,0.0,False
