Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,501,392,542,666,3284,311,7860,0.0,False
jmeter_view_issue,14414,235,230,262,277,317,189,2028,0.0,False
jmeter_search_jql,4666,557,547,615,643,699,447,2830,0.0,False
jmeter_view_dashboard,4233,152,149,172,186,221,118,309,0.0,False
jmeter_view_scrum_board,3390,202,200,240,256,297,144,626,0.0,False
jmeter_create_issue:open_quick_create,1697,87,85,94,100,123,66,928,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,170,168,186,195,227,144,791,0.0,False
jmeter_view_backlog,2534,322,315,361,378,420,267,2763,0.0,False
jmeter_view_kanban_board,2956,234,230,289,307,354,148,1197,0.0,False
jmeter_browse_projects,3799,82,80,94,100,121,65,177,0.0,False
jmeter_edit_issue:open_editor,2113,112,109,125,135,165,91,737,0.0,False
jmeter_view_project_summary,1267,136,133,153,163,200,109,430,0.0,False
jmeter_edit_issue:save_edit,2113,289,280,323,352,459,188,1065,0.0,False
jmeter_add_comment:open_comment,841,88,85,100,111,143,69,190,0.0,False
jmeter_add_comment:save_comment,840,272,268,298,318,345,228,401,0.0,False
jmeter_browse_boards,414,97,94,108,116,152,80,192,0.0,False
selenium_login:open_login_page,126,1184,1182,1192,1193,1201,1166,1574,0.0,False
selenium_login:login_and_view_dashboard,126,2437,2485,3734,3908,4028,723,4412,0.0,False
selenium_login,126,3638,3691,4926,5106,5224,1906,5608,0.0,False
selenium_project_summary,126,361,327,502,577,603,298,618,0.0,False
selenium_browse_projects_list,126,267,258,304,308,336,231,339,0.0,False
selenium_browse_boards_list,126,236,204,321,380,736,182,913,0.0,False
selenium_create_issue:open_quick_create,126,1460,1477,2123,2195,2274,719,2442,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,126,1386,1363,2009,2094,2155,627,2174,0.0,False
selenium_create_issue:fill_and_submit_issue_form,126,2000,1978,2656,2716,2833,1174,2874,0.0,False
selenium_create_issue,126,3461,3400,4733,4904,5082,1921,5205,0.0,False
selenium_edit_issue:open_edit_issue_form,126,425,422,448,474,522,388,550,0.0,False
selenium_edit_issue:save_edit_issue_form,126,620,602,685,770,855,549,1052,0.0,False
selenium_edit_issue,126,1765,1743,1878,1906,2048,1631,2341,0.0,False
selenium_save_comment:open_comment_form,126,202,197,211,228,345,183,427,0.0,False
selenium_save_comment:submit_form,126,570,560,622,631,706,502,886,0.0,False
selenium_save_comment,126,2160,2168,2815,2887,2915,985,3012,0.0,False
selenium_search_jql,126,1553,1546,2124,2204,2262,909,2300,0.0,False
selenium_view_scrum_board_backlog,126,1782,1814,2324,2365,2453,876,2463,0.0,False
selenium_view_scrum_board,126,1597,1571,2228,2306,2362,802,2375,0.0,False
selenium_view_kanban_board,126,1572,1540,2169,2251,2324,765,2370,0.0,False
selenium_view_dashboard,126,487,477,508,526,782,438,859,0.0,False
selenium_view_issue,126,474,472,505,514,552,407,600,0.0,False
zephyr_scale_view_test_case_in_issue_view,126,527,486,617,682,1453,434,1784,0.0,True
zephyr_scale_view_test_cycle_in_issue_view,126,495,474,557,622,736,440,784,0.0,True
zephyr_scale_view_test_plan_in_issue_view,126,473,455,562,611,666,417,675,0.0,True
selenium_log_out,126,421,336,435,756,1866,311,3314,0.0,False
