Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,282,279,300,308,440,235,510,0.0,False
jmeter_view_page:open_page,5288,623,631,731,762,837,414,1061,0.0,False
jmeter_view_blog,2071,1115,1144,1397,1542,1778,478,2918,0.0,False
jmeter_view_dashboard,1436,250,254,310,321,376,160,510,0.0,False
jmeter_create_and_edit_page:create_page_editor,1274,209,177,288,294,318,125,421,0.0,False
jmeter_create_and_edit_page:create_page,1274,558,546,612,630,696,504,797,0.0,False
jmeter_create_and_edit_page:open_editor,1274,115,114,117,118,129,109,229,0.0,False
jmeter_create_and_edit_page:edit_page,1274,597,589,626,643,744,558,828,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1274,526,521,543,558,650,494,709,0.0,False
jmeter_create_blog:blog_editor,637,267,289,304,309,347,195,446,0.0,False
jmeter_create_blog:feel_and_publish,637,948,1034,1127,1163,1251,562,1354,0.0,False
jmeter_search_cql:recently_viewed,1593,97,88,129,134,145,58,1149,0.0,False
jmeter_search_cql:search_results,1592,249,243,278,294,376,172,511,0.0,False
jmeter_comment_page,1110,131,124,163,174,198,92,292,0.0,False
jmeter_view_attachment,791,488,474,612,642,726,313,951,0.0,False
jmeter_upload_attachment,853,957,906,1234,1308,1447,640,2038,0.0,False
jmeter_like_page,463,158,141,188,189,216,114,270,0.0,False
selenium_login:open_login_page,94,140,124,132,158,250,118,1361,0.0,False
selenium_login:login_and_view_dashboard,94,319,318,340,367,492,253,649,0.0,False
selenium_view_blog,94,1365,1405,1634,1926,2500,653,4372,0.0,False
selenium_view_dashboard,94,210,200,243,255,343,171,356,0.0,False
selenium_view_page,94,675,676,778,830,985,471,1738,0.0,False
selenium_view_page_from_cache,94,410,384,492,547,662,335,690,0.0,False
selenium_create_page:open_create_page_editor,94,548,525,555,566,791,448,2368,0.0,False
selenium_create_page:save_created_page,94,380,370,429,451,464,320,490,0.0,False
selenium_edit_page_by_url:open_create_page_editor,94,494,482,597,619,783,373,945,0.0,False
selenium_edit_page_by_url:save_edited_page,94,494,472,626,654,685,366,692,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,94,411,393,502,533,563,347,581,0.0,False
selenium_quick_edit_page_click:save_edited_page,94,443,418,532,560,642,356,665,0.0,False
selenium_create_comment:write_comment,94,1108,1115,1447,1481,1547,612,1819,0.0,False
selenium_create_comment:save_comment,94,585,579,589,651,661,573,663,0.0,False
selenium_create_comment,94,2328,2352,2652,2757,3064,1779,3471,0.0,False
zscale_specific_user_login,282,1115,1101,1464,1508,1558,619,1583,0.0,True
view_test_cases_by_status_action,94,611,592,664,697,802,542,1446,0.0,True
view_test_cases_by_project_action,94,574,562,625,677,714,488,777,0.0,True
view_test_cases_by_folder_action,94,571,561,614,654,687,521,696,0.0,True
selenium_log_out,94,242,242,252,260,320,215,329,0.0,False
