Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,134,106,136,155,333,73,3792,0.0,False
jmeter_view_page:open_page,5290,196,189,246,269,331,117,2931,0.0,False
jmeter_view_dashboard,1597,66,62,81,105,131,49,440,0.0,False
jmeter_view_blog,2072,356,365,452,489,594,119,3904,0.0,False
jmeter_comment_page,1275,38,35,48,55,73,25,481,0.0,False
jmeter_view_attachment,956,135,130,178,195,245,83,777,0.0,False
jmeter_search_cql:recently_viewed,637,15,14,20,23,30,9,77,0.0,False
jmeter_search_cql:search_results,636,5599,3824,11735,17199,25023,143,25055,2.0,False
jmeter_create_and_edit_page:create_page_editor,1431,73,71,84,90,107,58,252,0.0,False
jmeter_create_and_edit_page:create_page,1431,189,183,221,237,268,147,369,0.0,False
jmeter_create_and_edit_page:open_editor,1431,14,13,16,18,26,8,78,0.0,False
jmeter_create_and_edit_page:edit_page,1431,206,203,231,244,283,172,400,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1430,196,193,216,227,255,164,350,0.0,False
jmeter_create_blog:blog_editor,796,88,85,101,108,136,72,327,0.0,False
jmeter_create_blog:feel_and_publish,796,289,313,362,379,421,149,824,0.0,False
jmeter_upload_attachment,1081,260,236,363,418,527,162,635,0.0,False
jmeter_like_page,463,20,20,26,27,39,9,71,0.0,False
jmeter_upload_emoji,311,111,106,125,135,173,85,559,0.0,False
selenium_login:open_login_page,66,123,80,89,108,1046,70,2772,0.0,False
selenium_login:login_and_view_dashboard,66,195,168,187,197,830,139,1963,0.0,False
selenium_view_blog,66,1044,1042,1192,1277,2340,583,3582,0.0,False
selenium_view_dashboard,66,140,136,160,175,190,115,197,0.0,False
selenium_view_page,66,743,736,835,857,1045,559,1344,0.0,False
selenium_view_page_from_cache,66,522,566,654,678,768,303,861,0.0,False
selenium_create_page:open_create_page_editor,66,856,906,999,1022,1967,463,3539,0.0,False
selenium_create_page:save_created_page,66,577,590,700,717,731,281,749,0.0,False
selenium_edit_page_by_url:open_create_page_editor,66,729,822,924,954,991,331,1032,0.0,False
selenium_edit_page_by_url:save_edited_page,66,669,691,784,801,898,333,935,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,66,399,358,559,574,653,282,694,0.0,False
selenium_quick_edit_page_click:save_edited_page,65,535,570,675,801,894,281,896,0.0,False
selenium_create_comment:write_comment,66,1397,1430,2096,2166,2239,487,2288,0.0,False
selenium_create_comment:save_comment,66,599,597,608,613,619,589,623,0.0,False
selenium_create_comment,66,2727,2753,3362,3527,3569,1703,3622,0.0,False
selenium_cql_search,66,5315,4878,8538,9618,15584,1555,20100,2.0,False
zscale_specific_user_login,198,1487,1485,2106,2232,2356,814,2447,0.0,True
view_test_cases_by_status_action,66,876,846,914,986,1471,778,2063,0.0,True
view_test_cases_by_project_action,66,760,748,844,904,1024,610,1025,0.0,True
view_test_cases_by_folder_action,66,757,756,822,832,854,625,877,0.0,True
selenium_log_out,66,171,166,195,200,234,147,263,0.0,False
