Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1023,1356,1501,1537,1625,139,1709,0.0,False
jmeter_view_page:open_page,7067,265,250,361,395,467,143,637,0.0,False
jmeter_view_dashboard,1222,959,1288,1421,1460,1501,87,1624,0.0,False
jmeter_comment_page,915,78,75,102,109,121,42,242,0.0,False
jmeter_view_attachment,614,204,185,284,308,368,118,442,0.0,False
jmeter_view_blog,1524,346,313,445,753,863,170,941,0.0,False
jmeter_create_and_edit_page:create_page_editor,1062,142,140,164,169,186,95,423,0.0,False
jmeter_create_and_edit_page:create_page,1055,310,296,375,433,498,192,646,0.0,False
jmeter_create_and_edit_page:open_editor,1055,47,46,57,59,67,26,206,0.0,False
jmeter_search_cql:recently_viewed,1366,17,16,23,25,30,4,66,0.0,False
jmeter_search_cql:search_results,1366,566,780,906,913,948,10,1031,0.0,False
jmeter_create_and_edit_page:edit_page,1037,356,345,429,456,567,211,734,0.0,False
jmeter_create_blog:blog_editor,452,159,157,187,193,204,116,249,0.0,False
jmeter_create_blog:feel_and_publish,452,286,286,342,352,361,203,554,0.0,False
jmeter_upload_attachment,744,363,337,485,537,624,238,924,0.0,False
jmeter_like_page,296,30,26,48,51,57,13,65,0.0,False
selenium_login:open_login_page,38,157,134,149,156,638,123,917,0.0,False
selenium_login:login_and_view_dashboard,38,353,314,523,530,543,261,551,0.0,False
selenium_login,38,592,530,745,762,1254,471,1540,0.0,False
selenium_view_page,38,395,384,458,471,628,321,715,0.0,False
selenium_create_page:open_create_page_editor,38,828,800,890,915,1531,699,1833,0.0,False
selenium_create_page:save_created_page,38,652,648,672,684,779,610,834,0.0,False
selenium_create_page,38,1616,1574,1667,1709,2453,1440,2815,0.0,False
selenium_edit_page:open_create_page_editor,38,1438,1134,2115,2138,2330,952,2390,0.0,False
selenium_edit_page:save_edited_page,38,813,770,954,1039,1215,703,1317,0.0,False
selenium_edit_page,38,2274,1932,2909,3135,3319,1728,3337,0.0,False
selenium_create_comment:write_comment,38,432,280,711,733,752,238,753,0.0,False
selenium_create_comment:save_comment,38,379,184,660,665,670,123,673,0.0,False
selenium_create_comment,38,1209,1240,1721,1732,1869,694,1924,0.0,False
selenium_view_blog,38,559,552,646,711,864,382,943,0.0,False
selenium_view_dashboard,38,223,192,374,407,431,175,443,0.0,False
zscale_specific_user_login,114,603,519,835,853,889,462,902,0.0,True
view_test_cases_by_status_action,38,20595,20586,20619,20643,20731,20556,20734,100.0,True
view_test_cases_by_project_action,38,20608,20594,20619,20744,20786,20562,20799,100.0,True
view_test_cases_by_folder_action,38,20594,20593,20610,20635,20719,20554,20725,100.0,True
selenium_log_out,38,182,138,295,309,350,116,373,0.0,False
