Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,973,924,1203,False
jmeter_view_issue,668,402,395,False
jmeter_search_jql,1224,798,783,False
jmeter_view_dashboard,415,228,227,False
jmeter_view_scrum_board,558,316,319,False
jmeter_view_backlog,792,483,461,False
jmeter_create_issue:open_quick_create,177,98,118,False
jmeter_create_issue:fill_and_submit_issue_form,673,552,540,False
jmeter_view_kanban_board,626,379,360,False
jmeter_browse_projects,246,122,118,False
jmeter_edit_issue:open_editor,381,210,216,False
jmeter_edit_issue:save_edit,964,750,736,False
jmeter_view_project_summary,378,203,207,False
jmeter_add_comment:open_comment,258,164,156,False
jmeter_add_comment:save_comment,835,611,615,False
jmeter_browse_boards,272,128,135,False
selenium_login:open_login_page,138,124,117,False
selenium_login:login_and_view_dashboard,1662,1560,1089,False
selenium_login,1804,1680,1293,False
selenium_project_summary,455,420,436,False
selenium_browse_projects_list,329,327,312,False
selenium_browse_boards_list,297,253,275,False
selenium_create_issue:open_quick_create,1888,1816,1978,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,2331,1968,1979,False
selenium_create_issue:fill_and_submit_issue_form,3022,2584,2618,False
selenium_create_issue,4629,4300,4521,False
selenium_edit_issue:open_edit_issue_form,622,511,525,False
selenium_edit_issue:save_edit_issue_form,684,648,616,False
selenium_edit_issue,2182,1648,1636,False
selenium_save_comment:open_comment_form,316,244,248,False
selenium_save_comment:submit_form,1075,940,958,False
selenium_save_comment,3156,3064,3103,False
selenium_search_jql,2388,2144,2265,False
selenium_view_scrum_board_backlog,2247,2256,2260,False
selenium_view_scrum_board,2143,2193,2217,False
selenium_view_kanban_board,2143,2138,2149,False
selenium_view_dashboard,563,570,545,False
selenium_view_issue,748,626,631,False
zephyr_scale_view_test_case_in_issue_view,832,703,702,True
zephyr_scale_view_test_cycle_in_issue_view,816,696,661,True
zephyr_scale_view_test_plan_in_issue_view,781,653,623,True
selenium_log_out,435,379,391,False
