Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,247,188,False
jmeter_view_page:open_page,436,361,False
jmeter_view_blog,604,561,False
jmeter_view_dashboard,100,95,False
jmeter_comment_page,91,100,False
jmeter_view_attachment,319,272,False
jmeter_search_cql:recently_viewed,38,46,False
jmeter_search_cql:search_results_2_words,1275,1217,False
jmeter_create_and_edit_page:create_page_editor,111,105,False
jmeter_create_and_edit_page:create_page,364,346,False
jmeter_create_and_edit_page:open_editor,24,22,False
jmeter_create_and_edit_page:edit_page,392,353,False
jmeter_create_and_edit_page:quick_edit_page,335,327,False
jmeter_create_blog:blog_editor,140,134,False
jmeter_create_blog:feel_and_publish,431,426,False
jmeter_upload_attachment,514,523,False
jmeter_search_cql:search_results_3_words,1887,1828,False
jmeter_upload_emoji,241,225,False
jmeter_like_page,52,53,False
selenium_login:open_login_page_dom,142,143,False
selenium_login:login_and_view_dashboard_dom,194,202,False
selenium_login,2514,2700,False
selenium_view_blog_dom,850,1004,False
selenium_view_blog,1811,1933,False
selenium_view_dashboard_dom,262,294,False
selenium_view_dashboard,2004,1756,False
selenium_view_page_dom,482,672,False
selenium_view_page,1186,1363,False
selenium_view_page_from_cache_dom,385,517,False
selenium_view_page_from_cache,986,1081,False
selenium_create_page:open_create_page_editor_dom,374,633,False
selenium_create_page:save_created_page_dom,228,464,False
selenium_create_page,5291,3068,False
selenium_edit_page_by_url:open_create_page_editor_dom,420,610,False
selenium_edit_page_by_url:save_edited_page_dom,402,600,False
selenium_edit_page_by_url,6090,5604,False
selenium_cql_search_two_words,4780,5208,False
selenium_quick_edit_page_click:open_create_page_editor_dom,348,486,False
selenium_quick_edit_page_click:save_edited_page_dom,343,492,False
selenium_quick_edit_page_click,6254,5818,False
selenium_create_comment:write_comment,1994,2209,False
selenium_create_comment:save_comment,625,628,False
selenium_create_comment,3469,3858,False
selenium_cql_search_three_words,4802,5426,False
selenium_log_out,319,391,False
