Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,203,192,247,266,348,149,416,0.0,False
jmeter_view_page:open_page,4992,305,282,436,502,669,146,1581,0.0,False
jmeter_view_blog,1956,488,468,604,676,1120,212,1582,0.0,False
jmeter_view_dashboard,1507,85,81,100,111,152,64,211,0.0,False
jmeter_comment_page,1203,73,68,91,103,133,46,259,0.0,False
jmeter_view_attachment,902,210,182,319,390,554,106,1069,0.0,False
jmeter_search_cql:recently_viewed,602,29,29,38,41,49,6,68,0.0,False
jmeter_search_cql:search_results_2_words,602,1147,1121,1275,1359,1523,1006,2013,0.0,False
jmeter_create_and_edit_page:create_page_editor,1351,93,89,111,120,157,67,263,0.0,False
jmeter_create_and_edit_page:create_page,1351,293,278,364,398,462,212,775,0.0,False
jmeter_create_and_edit_page:open_editor,1351,20,19,24,26,40,13,104,0.0,False
jmeter_create_and_edit_page:edit_page,1350,328,312,392,428,511,259,760,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1350,298,291,335,357,416,243,571,0.0,False
jmeter_create_blog:blog_editor,751,121,116,140,160,204,93,327,0.0,False
jmeter_create_blog:feel_and_publish,751,341,357,431,470,557,212,644,0.0,False
jmeter_upload_attachment,1022,360,340,514,577,694,211,809,0.0,False
jmeter_search_cql:search_results_3_words,594,1709,1680,1887,1961,2151,1480,2418,0.0,False
jmeter_upload_emoji,587,211,207,241,254,284,166,684,0.0,False
jmeter_like_page,437,45,45,52,54,85,21,104,0.0,False
selenium_login:open_login_page_dom,98,145,133,142,147,194,117,1197,0.0,False
selenium_login:login_and_view_dashboard_dom,98,179,172,194,207,262,149,666,0.0,False
selenium_login,98,1897,1922,2514,2570,3339,821,3583,0.0,False
selenium_view_blog_dom,98,695,620,850,1378,1687,409,2648,0.0,False
selenium_view_blog,98,1348,1342,1811,1973,2677,617,3107,0.0,False
selenium_view_dashboard_dom,98,192,164,262,387,467,139,468,0.0,False
selenium_view_dashboard,98,922,452,2004,2124,2288,235,2317,0.0,False
selenium_view_page_dom,98,374,356,482,512,703,239,1108,0.0,False
selenium_view_page,98,876,814,1186,1261,1393,506,1440,0.0,False
selenium_view_page_from_cache_dom,98,295,266,385,429,492,216,640,0.0,False
selenium_view_page_from_cache,98,753,695,986,1066,1442,533,1448,0.0,False
selenium_create_page:open_create_page_editor_dom,98,348,347,374,384,436,236,1328,0.0,False
selenium_create_page:save_created_page_dom,98,211,209,228,233,239,186,265,0.0,False
selenium_create_page,98,3040,2432,5291,6024,6517,2200,6723,0.0,False
selenium_edit_page_by_url:open_create_page_editor_dom,98,361,353,420,448,503,237,524,0.0,False
selenium_edit_page_by_url:save_edited_page_dom,98,320,304,402,441,493,248,512,0.0,False
selenium_edit_page_by_url,98,4082,3689,6090,7330,7876,2416,8123,0.0,False
selenium_cql_search_two_words,98,3369,3122,4780,5040,5227,1965,5277,0.0,False
selenium_quick_edit_page_click:open_create_page_editor_dom,98,283,268,348,379,404,217,419,0.0,False
selenium_quick_edit_page_click:save_edited_page_dom,98,280,266,343,368,419,224,430,0.0,False
selenium_quick_edit_page_click,98,4270,3891,6254,7367,8285,2613,8397,0.0,False
selenium_create_comment:write_comment,98,1376,1355,1994,2087,2158,559,2168,0.0,False
selenium_create_comment:save_comment,98,612,616,625,627,635,189,693,0.0,False
selenium_create_comment,98,2884,2920,3469,3519,3571,1998,3638,0.0,False
selenium_cql_search_three_words,98,3603,3432,4802,5057,5231,2379,5361,0.0,False
selenium_log_out,98,296,295,319,325,334,267,335,0.0,False
