Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,868,864,906,935,1043,803,1183,0.0,False
jmeter_view_page:open_page,7078,268,268,327,351,424,142,1473,0.0,False
jmeter_view_dashboard,1223,818,817,872,892,970,754,1447,0.0,False
jmeter_comment_page,915,70,66,80,87,185,53,506,0.0,False
jmeter_view_attachment,615,212,215,264,277,336,138,1056,0.0,False
jmeter_view_blog,1527,318,292,501,549,612,185,1404,0.0,False
jmeter_create_and_edit_page:create_page_editor,1063,144,136,152,160,315,119,1073,0.0,False
jmeter_search_cql:recently_viewed,1368,20,18,25,27,46,7,331,0.0,False
jmeter_search_cql:search_results,1367,478,471,519,534,590,253,808,0.0,False
jmeter_create_and_edit_page:create_page,1059,314,320,352,364,563,243,1292,0.0,False
jmeter_create_and_edit_page:open_editor,1059,47,44,50,57,81,39,474,0.0,False
jmeter_create_blog:blog_editor,452,155,149,165,174,256,132,934,0.0,False
jmeter_create_blog:feel_and_publish,452,336,295,555,565,603,269,1654,0.0,False
jmeter_upload_attachment,749,399,378,516,590,708,278,1263,0.0,False
jmeter_create_and_edit_page:edit_page,1043,354,355,401,412,448,288,1022,0.0,False
jmeter_like_page,296,28,24,41,43,47,15,445,0.0,False
selenium_login:open_login_page,194,143,124,180,192,202,114,1822,0.0,False
selenium_login:login_and_view_dashboard,194,296,301,320,333,371,230,456,0.0,False
selenium_login,194,532,521,571,581,610,429,2355,0.0,False
selenium_view_page,194,645,618,803,904,1125,483,1740,0.0,False
selenium_create_page:open_create_page_editor,194,965,953,1040,1060,1178,786,2469,0.0,False
selenium_create_page:save_created_page,194,1009,760,1302,2420,4401,649,5432,0.0,False
selenium_create_page,194,2112,1892,2462,3597,5478,1562,6528,0.0,False
selenium_edit_page:open_create_page_editor,194,2636,2212,5341,5870,6487,1102,6629,0.0,False
selenium_edit_page:save_edited_page,194,922,870,1164,1204,1292,725,1341,0.0,False
selenium_edit_page,194,3581,3135,6216,6758,7400,1939,7843,0.0,False
selenium_create_comment:write_comment,194,405,284,729,752,785,220,819,0.0,False
selenium_create_comment:save_comment,194,529,610,661,665,671,129,733,0.0,False
selenium_create_comment,194,1500,1475,1878,1930,2043,870,2399,0.0,False
selenium_view_blog,194,771,724,953,1212,1454,550,1474,0.0,False
selenium_view_dashboard,194,247,244,292,307,320,172,349,0.0,False
zscale_specific_user_login,582,588,587,686,696,716,391,843,0.0,True
view_test_cases_by_status_action,194,796,787,824,847,934,741,1287,0.0,True
view_test_cases_by_project_action,194,754,746,820,842,879,658,951,0.0,True
view_test_cases_by_folder_action,194,797,792,831,845,883,702,906,0.0,True
selenium_log_out,194,297,203,230,242,264,100,20519,1.0,False
