Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1201,1195,1256,1270,1308,1085,1371,0.0,False
jmeter_view_issue,14406,758,750,805,827,913,685,1198,0.0,False
jmeter_search_jql,4664,1437,1428,1523,1553,1629,1286,2000,0.0,False
jmeter_view_dashboard,4231,631,616,719,732,758,552,829,0.0,False
jmeter_view_scrum_board,3389,786,803,922,953,985,637,1306,0.0,False
jmeter_view_backlog,2532,986,1032,1217,1256,1298,735,2037,0.0,False
jmeter_create_issue:open_quick_create,1697,260,239,334,341,365,222,679,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1696,399,394,425,443,469,364,601,0.0,False
jmeter_view_kanban_board,2954,756,742,808,846,906,694,1135,0.0,False
jmeter_browse_projects,3797,316,304,365,371,384,283,556,0.0,False
jmeter_edit_issue:open_editor,2113,467,457,510,519,539,421,690,0.0,False
jmeter_edit_issue:save_edit,2112,977,943,1076,1203,1444,869,1917,0.0,False
jmeter_view_project_summary,1266,628,618,677,691,719,571,835,0.0,False
jmeter_add_comment:open_comment,840,428,417,475,482,495,391,521,0.0,False
jmeter_add_comment:save_comment,840,873,870,924,944,1002,785,1088,0.0,False
jmeter_browse_boards,414,382,370,431,438,474,347,536,0.0,False
selenium_login:open_login_page,113,153,143,159,169,234,135,790,0.0,False
selenium_login:login_and_view_dashboard,113,2210,2455,2888,2967,3025,721,4960,0.0,False
selenium_login,113,2364,2607,3035,3110,3201,861,5750,0.0,False
selenium_project_summary,113,493,464,502,514,1236,354,2483,0.0,False
selenium_browse_projects_list,113,330,336,363,369,391,250,403,0.0,False
selenium_browse_boards_list,113,1149,1134,1486,1514,1531,735,2136,0.0,False
selenium_create_issue:open_quick_create,113,1101,1111,1412,1447,1491,653,1508,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,113,995,999,1341,1359,1394,594,1398,0.0,False
selenium_create_issue:fill_and_submit_issue_form,113,1622,1622,1946,1973,2061,1090,2637,0.0,False
selenium_create_issue,113,2724,2750,3365,3414,3509,1858,3554,0.0,False
selenium_edit_issue:open_edit_issue_form,113,451,437,488,516,568,396,1129,0.0,False
selenium_edit_issue:save_edit_issue_form,113,498,491,535,555,570,461,632,0.0,False
selenium_edit_issue,113,2173,2110,2483,2534,2623,1836,2648,0.0,False
selenium_save_comment:open_comment_form,113,237,231,265,275,289,217,296,0.0,False
selenium_save_comment:submit_form,113,862,832,911,971,1226,745,2674,0.0,False
selenium_save_comment,113,2134,2108,2448,2461,2603,1669,3568,0.0,False
selenium_search_jql,113,1582,1491,2078,2135,3421,1132,4681,0.0,False
selenium_view_scrum_board_backlog,113,1508,1417,1853,1873,1915,900,3098,0.0,False
selenium_view_scrum_board,113,1308,1313,1640,1675,1703,862,2415,0.0,False
selenium_view_kanban_board,113,1337,1362,1626,1656,1692,825,1749,0.0,False
selenium_view_dashboard,113,468,459,499,518,566,411,978,0.0,False
selenium_view_issue,113,603,594,657,667,786,535,860,0.0,False
zephyr_scale_view_test_case_in_issue_view,113,664,647,698,728,1107,606,1210,0.0,True
zephyr_scale_view_test_cycle_in_issue_view,113,659,655,705,727,758,597,762,0.0,True
zephyr_scale_view_test_plan_in_issue_view,113,658,658,705,722,740,571,742,0.0,True
selenium_log_out,113,427,428,461,472,475,380,476,0.0,False
