Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,365,354,413,427,493,299,910,0.0,False
jmeter_view_dashboard,4233,165,163,192,205,241,116,1178,0.0,False
jmeter_view_issue,14415,253,250,289,306,347,191,553,0.0,False
jmeter_view_scrum_board,3390,223,218,267,284,330,154,418,0.0,False
jmeter_search_jql,4667,606,598,686,718,797,430,2102,0.0,False
jmeter_view_backlog,2533,377,373,429,452,496,288,683,0.0,False
jmeter_create_issue:open_quick_create,1697,57,55,65,68,107,43,156,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,174,171,195,208,251,129,568,0.0,False
jmeter_view_kanban_board,2956,254,253,309,328,377,143,507,0.0,False
jmeter_browse_projects,3799,91,89,105,113,149,68,206,0.0,False
jmeter_edit_issue:open_editor,2114,121,118,140,154,190,92,229,0.0,False
jmeter_edit_issue:save_edit,2113,318,309,370,404,506,196,709,0.0,False
jmeter_view_project_summary,1267,133,130,154,168,200,100,241,0.0,False
jmeter_add_comment:open_comment,841,97,96,110,115,154,73,195,0.0,False
jmeter_add_comment:save_comment,841,289,286,323,336,396,230,604,0.0,False
jmeter_browse_boards,414,105,102,124,132,160,80,198,0.0,False
selenium_login:open_login_page,140,1184,1180,1190,1192,1232,1163,1663,0.0,False
selenium_login:login_and_view_dashboard,140,2201,2264,3328,3561,3618,671,3796,0.0,False
selenium_login,140,3400,3451,4519,4753,4923,1864,5287,0.0,False
selenium_project_summary,140,332,308,362,484,601,287,1246,0.0,False
selenium_browse_projects_list,140,259,256,284,294,319,220,352,0.0,False
selenium_browse_boards_list,140,223,204,259,331,416,179,1140,0.0,False
selenium_create_issue:open_quick_create,140,1427,1441,2008,2078,2155,669,2185,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,140,1302,1314,1892,1953,2025,633,2044,0.0,False
selenium_create_issue:fill_and_submit_issue_form,140,1909,1890,2487,2531,2638,1231,2662,0.0,False
selenium_create_issue,140,3337,3322,4493,4624,4736,1975,4759,0.0,False
selenium_edit_issue:open_edit_issue_form,140,425,423,446,452,534,388,602,0.0,False
selenium_edit_issue:save_edit_issue_form,140,625,603,698,809,893,550,1044,0.0,False
selenium_edit_issue,140,1764,1754,1853,1944,2030,1645,2457,0.0,False
selenium_save_comment:open_comment_form,140,205,199,214,244,330,158,374,0.0,False
selenium_save_comment:submit_form,140,573,567,619,635,673,503,781,0.0,False
selenium_save_comment,140,2055,2056,2690,2729,2767,995,2860,0.0,False
selenium_search_jql,140,1515,1510,2040,2112,2160,941,2168,0.0,False
selenium_view_scrum_board_backlog,140,1690,1751,2137,2223,2288,979,2301,0.0,False
selenium_view_scrum_board,140,1528,1532,2113,2174,2231,825,2246,0.0,False
selenium_view_kanban_board,140,1496,1467,2071,2113,2175,761,2248,0.0,False
selenium_view_dashboard,140,485,473,502,537,610,436,1382,0.0,False
selenium_view_issue,140,472,466,506,522,627,414,692,0.0,False
selenium_log_out,140,553,307,1209,2118,3666,282,3980,0.0,False
