Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,366,349,431,458,564,302,790,0.0,False
jmeter_view_issue,14415,267,262,312,335,390,192,797,0.0,False
jmeter_view_dashboard,4232,175,172,207,225,272,116,558,0.0,False
jmeter_search_jql,4666,636,624,742,782,884,435,1583,0.0,False
jmeter_view_scrum_board,3390,236,231,287,308,362,152,707,0.0,False
jmeter_view_backlog,2533,394,388,460,488,549,278,1052,0.0,False
jmeter_create_issue:open_quick_create,1697,61,60,70,79,120,43,216,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,180,173,212,241,313,138,634,0.0,False
jmeter_view_kanban_board,2956,278,271,357,382,443,144,710,0.0,False
jmeter_browse_projects,3799,98,96,117,132,165,68,275,0.0,False
jmeter_edit_issue:open_editor,2113,126,124,144,156,194,93,339,0.0,False
jmeter_edit_issue:save_edit,2113,328,312,399,455,576,195,974,0.0,False
jmeter_view_project_summary,1267,145,140,175,199,241,102,360,0.0,False
jmeter_add_comment:open_comment,841,99,98,113,123,154,74,224,0.0,False
jmeter_add_comment:save_comment,841,316,307,373,398,469,233,682,0.0,False
jmeter_browse_boards,414,110,106,130,141,172,83,193,0.0,False
selenium_login:open_login_page,126,1192,1180,1190,1194,1288,1163,2515,0.0,False
selenium_login:login_and_view_dashboard,126,2499,2378,3632,3808,3940,696,22835,0.0,False
selenium_login,126,3707,3568,4830,5008,5138,1880,25374,0.0,False
selenium_project_summary,126,355,314,510,544,616,286,1788,0.0,False
selenium_browse_projects_list,126,265,263,288,299,315,215,318,0.0,False
selenium_browse_boards_list,126,232,204,227,338,1074,185,1532,0.0,False
selenium_create_issue:open_quick_create,126,1488,1481,2092,2156,2325,665,2363,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,126,1348,1322,1978,2040,2097,640,2112,0.0,False
selenium_create_issue:fill_and_submit_issue_form,126,1968,1956,2576,2626,2744,1200,2758,0.0,False
selenium_create_issue,126,3457,3442,4662,4822,5038,1913,5058,0.0,False
selenium_edit_issue:open_edit_issue_form,126,430,426,450,454,515,385,839,0.0,False
selenium_edit_issue:save_edit_issue_form,126,645,610,714,773,929,539,2348,0.0,False
selenium_edit_issue,126,1796,1762,1894,1947,2096,1630,4003,0.0,False
selenium_save_comment:open_comment_form,126,210,201,239,272,338,168,354,0.0,False
selenium_save_comment:submit_form,126,581,574,635,665,701,505,761,0.0,False
selenium_save_comment,126,2121,2127,2788,2839,2942,962,3102,0.0,False
selenium_search_jql,126,1598,1578,2186,2254,2351,975,2635,0.0,False
selenium_view_scrum_board_backlog,126,1756,1797,2256,2364,2542,846,2809,0.0,False
selenium_view_scrum_board,126,1580,1586,2198,2254,2297,828,2331,0.0,False
selenium_view_kanban_board,126,1531,1526,2130,2184,2251,765,2262,0.0,False
selenium_view_dashboard,126,481,477,502,508,528,418,913,0.0,False
selenium_view_issue,126,479,474,524,532,588,394,617,0.0,False
zephyr_scale_view_test_case_in_issue_view,126,513,502,576,598,672,443,712,0.0,True
zephyr_scale_view_test_cycle_in_issue_view,126,514,492,566,599,703,443,1485,0.0,True
zephyr_scale_view_test_plan_in_issue_view,126,478,466,532,577,640,428,688,0.0,True
selenium_log_out,126,479,318,470,1431,4032,288,4276,0.0,False
