Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1129,1102,1322,1356,1517,963,1557,0.0,False
jmeter_view_issue,14406,925,902,1095,1172,1323,670,1654,0.0,False
jmeter_search_jql,4663,1849,1808,2201,2374,2629,1249,3054,0.0,False
jmeter_view_dashboard,4231,739,723,858,910,1015,562,1300,0.0,False
jmeter_view_scrum_board,3389,956,943,1175,1252,1424,639,1620,0.0,False
jmeter_view_backlog,2533,1255,1241,1576,1701,1937,720,2173,0.0,False
jmeter_create_issue:open_quick_create,1697,280,263,358,381,444,203,483,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1696,407,394,532,574,666,255,769,0.0,False
jmeter_view_kanban_board,2954,902,876,1073,1147,1328,677,1567,0.0,False
jmeter_browse_projects,3797,386,376,465,498,572,288,671,0.0,False
jmeter_edit_issue:open_editor,2113,534,521,629,675,742,420,837,0.0,False
jmeter_edit_issue:save_edit,2111,1120,1089,1326,1425,1595,795,2347,0.0,False
jmeter_view_project_summary,1266,722,712,828,873,942,568,1075,0.0,False
jmeter_add_comment:open_comment,841,489,479,572,605,683,383,812,0.0,False
jmeter_add_comment:save_comment,841,1020,1000,1200,1276,1438,742,1642,0.0,False
jmeter_browse_boards,414,452,444,536,569,631,358,701,0.0,False
selenium_login:open_login_page,115,175,159,211,221,258,134,838,0.0,False
selenium_login:login_and_view_dashboard,115,1496,905,2809,2897,2985,647,3122,0.0,False
selenium_login,115,1672,1092,3009,3098,3189,783,3277,0.0,False
selenium_project_summary,115,508,492,564,581,1257,366,1421,0.0,False
selenium_browse_projects_list,115,374,372,426,450,502,283,520,0.0,False
selenium_browse_boards_list,115,1139,1127,1445,1488,1527,734,1528,0.0,False
selenium_create_issue:open_quick_create,115,1074,1114,1407,1444,1466,651,1487,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,115,972,946,1290,1325,1621,590,1736,0.0,False
selenium_create_issue:fill_and_submit_issue_form,115,1568,1516,1879,1913,2247,1134,2281,0.0,False
selenium_create_issue,115,2643,2642,3294,3371,3479,1887,3674,0.0,False
selenium_edit_issue:open_edit_issue_form,115,491,480,574,605,648,387,656,0.0,False
selenium_edit_issue:save_edit_issue_form,115,541,531,619,641,674,471,683,0.0,False
selenium_edit_issue,115,2226,2213,2592,2655,2766,1669,2791,0.0,False
selenium_save_comment:open_comment_form,115,268,253,325,351,425,211,481,0.0,False
selenium_save_comment:submit_form,115,835,820,966,990,1059,670,1731,0.0,False
selenium_save_comment,115,2116,2107,2503,2587,2740,1492,2849,0.0,False
selenium_search_jql,115,1809,1725,2330,2439,2686,1256,3270,0.0,False
selenium_view_scrum_board_backlog,115,1500,1443,1968,2018,2227,860,2345,0.0,False
selenium_view_scrum_board,115,1310,1314,1672,1705,1724,847,1739,0.0,False
selenium_view_kanban_board,115,1348,1409,1655,1680,1748,784,1799,0.0,False
selenium_view_dashboard,115,472,460,516,534,558,408,953,0.0,False
selenium_view_issue,115,662,653,763,796,861,536,879,0.0,False
zephyr_scale_view_test_case_in_issue_view,115,728,689,859,898,1535,547,1866,0.0,True
zephyr_scale_view_test_cycle_in_issue_view,115,700,693,808,839,892,500,958,0.0,True
zephyr_scale_view_test_plan_in_issue_view,115,731,712,844,904,1372,520,1506,0.0,True
selenium_log_out,115,449,445,496,524,583,363,652,0.0,False
