Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,84,80,99,107,150,68,183,0.0,False
jmeter_view_page:open_page,5290,195,188,247,269,318,125,573,0.0,False
jmeter_view_blog,2072,365,370,471,498,568,119,735,0.0,False
jmeter_view_dashboard,1597,70,64,97,106,125,52,218,0.0,False
jmeter_comment_page,1275,32,30,40,45,66,22,105,0.0,False
jmeter_view_attachment,956,131,124,169,186,232,86,537,0.0,False
jmeter_search_cql:recently_viewed,637,14,14,18,19,31,8,50,0.0,False
jmeter_search_cql:search_results,637,3686,3370,5307,8524,12797,141,25024,0.0,False
jmeter_create_and_edit_page:create_page_editor,1431,72,69,86,91,122,57,220,0.0,False
jmeter_create_and_edit_page:create_page,1431,183,178,214,231,263,146,354,0.0,False
jmeter_create_and_edit_page:open_editor,1431,12,12,15,16,21,8,129,0.0,False
jmeter_create_and_edit_page:edit_page,1431,204,199,234,248,288,169,338,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1431,193,188,220,231,265,162,315,0.0,False
jmeter_create_blog:blog_editor,796,85,82,99,102,129,70,156,0.0,False
jmeter_create_blog:feel_and_publish,796,276,289,354,381,432,138,465,0.0,False
jmeter_upload_attachment,1080,288,278,410,444,503,151,707,0.0,False
jmeter_like_page,463,21,21,25,27,38,9,69,0.0,False
jmeter_upload_emoji,311,92,89,104,108,151,74,193,0.0,False
selenium_login:open_login_page,90,87,82,91,94,161,71,486,0.0,False
selenium_login:login_and_view_dashboard,90,163,157,177,180,228,139,514,0.0,False
selenium_view_blog,90,994,1000,1163,1192,1873,531,3116,0.0,False
selenium_view_dashboard,90,139,134,158,167,286,112,289,0.0,False
selenium_view_page,90,627,574,776,841,1303,455,1380,0.0,False
selenium_view_page_from_cache,90,463,468,622,661,724,286,766,0.0,False
selenium_create_page:open_create_page_editor,90,809,800,945,984,1214,454,1985,0.0,False
selenium_create_page:save_created_page,90,509,515,666,703,754,251,1013,0.0,False
selenium_edit_page_by_url:open_create_page_editor,90,671,720,950,1007,1091,316,1111,0.0,False
selenium_edit_page_by_url:save_edited_page,90,604,612,774,819,880,297,1014,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,90,377,346,497,541,611,277,684,0.0,False
selenium_quick_edit_page_click:save_edited_page,90,507,528,674,701,776,280,824,0.0,False
selenium_create_comment:write_comment,90,1270,1260,1884,1963,2067,262,2091,0.0,False
selenium_create_comment:save_comment,90,603,598,608,613,667,590,905,0.0,False
selenium_create_comment,90,2497,2462,3172,3300,3453,1705,3457,0.0,False
selenium_cql_search,90,4534,4712,6302,6612,7300,1746,7326,0.0,False
selenium_log_out,90,173,170,184,189,236,151,294,0.0,False
