Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,1177,1252,1487,False
jmeter_view_issue,484,467,487,False
jmeter_search_jql,1011,959,988,False
jmeter_view_dashboard,315,311,318,False
jmeter_view_scrum_board,437,431,457,False
jmeter_view_backlog,932,921,994,False
jmeter_create_issue:open_quick_create,192,192,211,False
jmeter_create_issue:fill_and_submit_issue_form,593,579,610,False
jmeter_view_kanban_board,487,461,471,False
jmeter_browse_projects,182,174,177,False
jmeter_edit_issue:open_editor,306,297,303,False
jmeter_edit_issue:save_edit,671,657,684,False
jmeter_view_project_summary,373,367,389,False
jmeter_add_comment:open_comment,246,240,252,False
jmeter_add_comment:save_comment,686,674,719,False
jmeter_browse_boards,223,216,220,False
selenium_login:open_login_page,136,174,165,False
selenium_login:login_and_view_dashboard,816,866,944,False
selenium_login,941,1039,1102,False
selenium_browse_projects_list,301,321,324,False
selenium_browse_boards_list,829,848,835,False
selenium_create_issue:open_quick_create,707,705,734,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,1144,1141,1123,False
selenium_create_issue:fill_and_submit_issue_form,1689,1675,1685,False
selenium_create_issue,2379,2359,2407,False
selenium_edit_issue:open_edit_issue_form,484,511,516,False
selenium_edit_issue:save_edit_issue_form,639,836,825,False
selenium_edit_issue,1633,1857,1826,False
selenium_save_comment:open_comment_form,376,391,394,False
selenium_save_comment:submit_form,987,1013,1023,False
selenium_save_comment,1861,1937,1906,False
selenium_search_jql,1423,1363,1400,False
selenium_view_scrum_board_backlog,1352,1179,1333,False
selenium_view_scrum_board,951,1035,937,False
selenium_view_kanban_board,1658,1573,1451,False
selenium_view_dashboard,572,600,902,False
selenium_view_issue,684,756,765,False
selenium_project_summary,799,846,604,False
zephyr_scale_view_test_case_in_issue_view,655,615,671,True
zephyr_scale_view_test_cycle_in_issue_view,657,703,738,True
zephyr_scale_view_test_plan_in_issue_view,604,710,717,True
selenium_log_out,422,528,502,False
