Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,153,136,188,205,242,119,1667,0.0,False
jmeter_view_page:open_page,4995,269,258,361,395,475,148,914,0.0,False
jmeter_view_blog,1957,435,428,561,599,720,186,1104,0.0,False
jmeter_view_dashboard,1508,82,79,95,104,139,64,223,0.0,False
jmeter_comment_page,1204,77,72,100,115,146,47,220,0.0,False
jmeter_view_attachment,902,189,176,272,300,345,100,415,0.0,False
jmeter_search_cql:recently_viewed,602,36,35,46,50,68,8,98,0.0,False
jmeter_search_cql:search_results_2_words,602,1124,1104,1217,1271,1480,1006,1718,0.0,False
jmeter_create_and_edit_page:create_page_editor,1351,91,88,105,114,152,67,195,0.0,False
jmeter_create_and_edit_page:create_page,1351,284,270,346,377,439,214,545,0.0,False
jmeter_create_and_edit_page:open_editor,1351,19,18,22,24,40,12,92,0.0,False
jmeter_create_and_edit_page:edit_page,1351,313,305,353,376,430,257,641,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1351,292,287,327,346,380,242,446,0.0,False
jmeter_create_blog:blog_editor,752,117,114,134,144,178,95,207,0.0,False
jmeter_create_blog:feel_and_publish,752,323,318,426,448,524,209,649,0.0,False
jmeter_upload_attachment,1020,361,336,523,589,718,203,905,0.0,False
jmeter_search_cql:search_results_3_words,594,1688,1666,1828,1901,2104,1496,2410,0.0,False
jmeter_upload_emoji,587,202,199,225,238,268,162,315,0.0,False
jmeter_like_page,437,45,44,53,56,81,16,104,0.0,False
selenium_login:open_login_page_dom,92,139,132,143,147,211,118,630,0.0,False
selenium_login:login_and_view_dashboard_dom,92,185,176,202,230,312,153,651,0.0,False
selenium_login,92,2068,2004,2700,2826,3089,1110,4829,0.0,False
selenium_view_blog_dom,92,845,767,1004,1044,1561,631,3404,0.0,False
selenium_view_blog,92,1321,1146,1933,1992,2201,862,3660,0.0,False
selenium_view_dashboard_dom,92,214,192,294,402,502,144,504,0.0,False
selenium_view_dashboard,92,686,414,1756,2244,2479,270,2662,0.0,False
selenium_view_page_dom,92,568,556,672,726,1265,359,1567,0.0,False
selenium_view_page,92,1138,1117,1363,1527,1925,802,2380,0.0,False
selenium_view_page_from_cache_dom,92,420,389,517,559,613,342,641,0.0,False
selenium_view_page_from_cache,92,883,824,1081,1240,1332,744,1342,0.0,False
selenium_create_page:open_create_page_editor_dom,92,610,593,633,647,856,467,2011,0.0,False
selenium_create_page:save_created_page_dom,92,408,432,464,471,478,306,485,0.0,False
selenium_create_page,92,3023,2896,3068,3188,7002,2636,8489,0.0,False
selenium_edit_page_by_url:open_create_page_editor_dom,92,508,472,610,625,662,408,676,0.0,False
selenium_edit_page_by_url:save_edited_page_dom,92,519,517,600,627,674,383,699,0.0,False
selenium_edit_page_by_url,92,4447,4332,5604,6292,7783,2847,8387,0.0,False
selenium_cql_search_two_words,92,3489,3270,5208,5489,5788,1815,5877,0.0,False
selenium_quick_edit_page_click:open_create_page_editor_dom,92,405,394,486,506,539,337,554,0.0,False
selenium_quick_edit_page_click:save_edited_page_dom,92,416,400,492,510,544,336,615,0.0,False
selenium_quick_edit_page_click,92,4663,4442,5818,7239,7931,3318,8199,0.0,False
selenium_create_comment:write_comment,92,1514,1524,2209,2296,2387,571,2422,0.0,False
selenium_create_comment:save_comment,92,611,619,628,631,711,197,740,0.0,False
selenium_create_comment,92,3201,3270,3858,4184,4433,2091,4564,0.0,False
selenium_cql_search_three_words,92,3868,3700,5426,5669,5945,2378,5970,0.0,False
selenium_log_out,92,374,373,391,397,423,293,440,0.0,False
