Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,145,144,168,172,195,116,233,0.0,False
jmeter_view_page:open_page,4995,251,242,324,351,442,151,2208,0.0,False
jmeter_view_blog,1957,380,382,466,488,553,189,2134,0.0,False
jmeter_view_dashboard,1508,76,73,85,94,135,61,729,0.0,False
jmeter_comment_page,1204,76,68,103,118,154,45,1645,0.0,False
jmeter_view_attachment,902,181,167,255,284,365,98,1846,0.0,False
jmeter_search_cql:recently_viewed,602,34,33,42,46,60,12,79,0.0,False
jmeter_search_cql:search_results_2_words,602,1039,1026,1113,1146,1205,933,2159,0.0,False
jmeter_create_and_edit_page:create_page_editor,1351,87,83,99,105,126,65,1579,0.0,False
jmeter_create_and_edit_page:create_page,1351,259,247,309,333,368,195,2102,0.0,False
jmeter_create_and_edit_page:open_editor,1351,17,17,20,21,30,11,73,0.0,False
jmeter_create_and_edit_page:edit_page,1351,288,283,311,329,363,250,1573,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1351,270,266,292,307,346,235,431,0.0,False
jmeter_create_blog:blog_editor,752,112,105,120,127,155,92,3703,0.0,False
jmeter_create_blog:feel_and_publish,752,324,308,426,475,540,206,681,0.0,False
jmeter_upload_attachment,1022,337,309,496,560,689,199,890,0.0,False
jmeter_search_cql:search_results_3_words,594,1547,1536,1649,1678,1780,1383,1931,0.0,False
jmeter_upload_emoji,587,206,199,214,227,262,175,1554,0.0,False
jmeter_like_page,437,37,39,46,48,74,16,99,0.0,False
selenium_login:open_login_page_dom,74,149,124,138,145,597,115,1796,0.0,False
selenium_login:login_and_view_dashboard_dom,74,180,172,193,199,349,147,728,0.0,False
selenium_login,74,2013,1992,2684,2769,3128,1095,3819,0.0,False
selenium_view_blog_dom,74,853,870,962,1002,1634,568,2218,0.0,False
selenium_view_blog,74,1441,1451,1957,2016,2220,908,2564,0.0,False
selenium_view_dashboard_dom,74,224,184,430,456,473,139,495,0.0,False
selenium_view_dashboard,74,706,428,1824,2237,2477,246,2563,0.0,False
selenium_view_page_dom,74,586,578,638,661,929,453,1456,0.0,False
selenium_view_page,74,1213,1210,1414,1522,1673,743,1868,0.0,False
selenium_view_page_from_cache_dom,74,395,383,456,476,521,334,574,0.0,False
selenium_view_page_from_cache,74,852,822,920,1142,1308,709,1382,0.0,False
selenium_create_page:open_create_page_editor_dom,74,615,596,621,630,1011,554,2004,0.0,False
selenium_create_page:save_created_page_dom,74,430,436,458,468,796,294,1596,0.0,False
selenium_create_page,74,2932,2886,3042,3119,4354,2585,6186,0.0,False
selenium_edit_page_by_url:open_create_page_editor_dom,74,508,475,609,632,687,423,720,0.0,False
selenium_edit_page_by_url:save_edited_page_dom,74,517,523,595,605,638,364,667,0.0,False
selenium_edit_page_by_url,74,4163,4134,4898,5240,6001,3015,6867,0.0,False
selenium_cql_search_two_words,74,3325,3000,5113,5338,5555,1783,5716,0.0,False
selenium_quick_edit_page_click:open_create_page_editor_dom,74,422,408,504,522,554,343,561,0.0,False
selenium_quick_edit_page_click:save_edited_page_dom,74,425,404,503,517,543,362,566,0.0,False
selenium_quick_edit_page_click,74,4393,4440,5089,5477,5741,3133,6018,0.0,False
selenium_create_comment:write_comment,74,1535,1540,2221,2304,2370,620,2379,0.0,False
selenium_create_comment:save_comment,74,599,621,632,638,697,201,701,0.0,False
selenium_create_comment,74,3190,3208,3801,3932,4125,2263,4371,0.0,False
selenium_cql_search_three_words,74,3848,3620,5439,5682,5942,2429,6012,0.0,False
zscale_specific_user_login,222,1957,1990,2652,2747,2924,684,5068,0.0,True
view_test_cases_by_status_action,74,764,747,794,807,1059,715,1625,0.0,True
view_test_cases_by_project_action,74,594,571,693,726,842,534,1024,0.0,True
view_test_cases_by_folder_action,74,630,606,708,733,777,530,872,0.0,True
selenium_log_out,74,261,256,276,297,335,236,339,0.0,False
