Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,96,94,114,121,154,69,182,0.0,False
jmeter_view_page:open_page,5291,200,193,253,274,332,120,731,0.0,False
jmeter_view_blog,2072,373,381,486,526,588,139,714,0.0,False
jmeter_view_dashboard,1597,72,66,101,112,132,50,182,0.0,False
jmeter_comment_page,1274,34,31,43,51,70,23,84,0.0,False
jmeter_view_attachment,956,133,126,174,188,224,87,255,0.0,False
jmeter_search_cql:recently_viewed,637,15,15,19,22,28,9,60,0.0,False
jmeter_search_cql:search_results,636,3869,3454,5823,9066,17994,143,25025,1.0,False
jmeter_create_and_edit_page:create_page_editor,1431,74,70,89,95,123,57,212,0.0,False
jmeter_create_and_edit_page:create_page,1431,188,183,219,235,268,149,358,0.0,False
jmeter_create_and_edit_page:open_editor,1431,13,12,15,17,24,8,113,0.0,False
jmeter_create_and_edit_page:edit_page,1431,207,201,236,254,289,173,350,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1430,194,188,221,232,255,161,318,0.0,False
jmeter_create_blog:blog_editor,796,87,84,101,106,134,70,152,0.0,False
jmeter_create_blog:feel_and_publish,796,287,305,366,390,465,142,546,0.0,False
jmeter_upload_attachment,1079,273,253,388,427,499,153,689,0.0,False
jmeter_like_page,463,21,21,25,28,39,9,87,0.0,False
jmeter_upload_emoji,311,94,91,107,116,141,75,260,0.0,False
selenium_login:open_login_page,72,88,82,89,109,212,73,412,0.0,False
selenium_login:login_and_view_dashboard,72,159,156,176,179,227,141,325,0.0,False
selenium_view_blog,72,953,1015,1183,1228,1442,530,1774,0.0,False
selenium_view_dashboard,72,141,136,163,174,213,109,224,0.0,False
selenium_view_page,72,672,688,801,861,1405,481,1448,0.0,False
selenium_view_page_from_cache,72,447,408,622,666,709,296,709,0.0,False
selenium_create_page:open_create_page_editor,72,798,816,1023,1066,1245,442,1260,0.0,False
selenium_create_page:save_created_page,72,537,550,664,714,774,273,856,0.0,False
selenium_edit_page_by_url:open_create_page_editor,72,739,786,933,999,1234,326,1353,0.0,False
selenium_edit_page_by_url:save_edited_page,72,606,596,797,818,887,312,979,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,72,387,354,504,560,629,286,712,0.0,False
selenium_quick_edit_page_click:save_edited_page,72,496,518,640,672,739,287,775,0.0,False
selenium_create_comment:write_comment,72,1299,1342,1920,2030,2125,513,2127,0.0,False
selenium_create_comment:save_comment,72,597,597,605,607,609,589,611,0.0,False
selenium_create_comment,72,2541,2566,3172,3287,3597,1718,3985,0.0,False
selenium_cql_search,72,4868,4930,6373,7033,7980,1267,8329,0.0,False
zscale_specific_user_login,216,1370,1340,1974,2076,2180,751,2198,0.0,True
view_test_cases_by_status_action,72,787,773,816,848,1287,683,1505,0.0,True
view_test_cases_by_project_action,72,689,688,753,766,828,498,930,0.0,True
view_test_cases_by_folder_action,72,702,706,757,768,829,580,871,0.0,True
selenium_log_out,72,172,165,199,200,222,144,231,0.0,False
