Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1477,1477,1583,1615,1660,1320,1815,0.0,False
jmeter_view_page:open_page,7080,222,205,287,309,352,140,920,0.0,False
jmeter_view_dashboard,1223,1369,1369,1465,1483,1555,1257,1746,0.0,False
jmeter_comment_page,916,63,61,72,77,88,47,199,0.0,False
jmeter_view_attachment,616,170,147,235,253,291,120,377,0.0,False
jmeter_view_blog,1527,317,265,693,766,824,153,992,0.0,False
jmeter_create_and_edit_page:create_page_editor,1064,126,123,138,143,164,106,442,0.0,False
jmeter_create_and_edit_page:create_page,1058,264,253,318,333,370,227,456,0.0,False
jmeter_create_and_edit_page:open_editor,1058,42,41,47,54,62,34,103,0.0,False
jmeter_search_cql:recently_viewed,1369,18,17,23,25,30,6,70,0.0,False
jmeter_search_cql:search_results,1369,877,903,928,947,1041,488,2628,0.0,False
jmeter_create_and_edit_page:edit_page,1043,312,300,363,389,448,274,507,0.0,False
jmeter_create_blog:blog_editor,452,142,142,154,158,165,126,184,0.0,False
jmeter_create_blog:feel_and_publish,452,266,264,282,291,316,240,391,0.0,False
jmeter_upload_attachment,744,326,298,420,458,553,250,724,0.0,False
jmeter_like_page,296,26,22,39,40,44,15,47,0.0,False
selenium_login:open_login_page,38,180,130,137,140,1334,121,2033,0.0,False
selenium_login:login_and_view_dashboard,38,286,274,316,324,435,258,492,0.0,False
selenium_login,38,544,482,528,544,1849,450,2601,0.0,False
selenium_view_page,38,376,341,460,486,769,293,923,0.0,False
selenium_create_page:open_create_page_editor,38,827,794,870,886,1543,699,1915,0.0,False
selenium_create_page:save_created_page,38,646,646,675,692,762,606,776,0.0,False
selenium_create_page,38,1608,1570,1653,1692,2439,1482,2853,0.0,False
selenium_edit_page:open_create_page_editor,38,1626,1608,2173,2238,2421,981,2460,0.0,False
selenium_edit_page:save_edited_page,38,781,750,894,961,1043,676,1066,0.0,False
selenium_edit_page,38,2429,2638,2980,3050,3252,1735,3308,0.0,False
selenium_create_comment:write_comment,38,335,263,660,680,687,224,687,0.0,False
selenium_create_comment:save_comment,38,350,148,655,659,671,122,674,0.0,False
selenium_create_comment,38,1070,1143,1421,1586,1722,707,1744,0.0,False
selenium_view_blog,38,556,509,847,925,984,380,988,0.0,False
selenium_view_dashboard,38,196,187,220,251,299,165,326,0.0,False
zscale_specific_user_login,114,465,460,494,503,523,417,539,0.0,True
view_test_cases_by_status_action,38,20558,20554,20581,20588,20596,20535,20599,100.0,True
view_test_cases_by_project_action,38,20572,20571,20598,20602,20606,20527,20607,100.0,True
view_test_cases_by_folder_action,38,20570,20566,20589,20596,20609,20549,20612,100.0,True
selenium_log_out,38,124,118,146,148,164,113,173,0.0,False
