Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,261,262,275,281,345,229,403,0.0,False
jmeter_view_page:open_page,5289,614,622,723,764,892,402,1359,0.0,False
jmeter_view_blog,2071,1128,1155,1403,1500,1770,425,2101,0.0,False
jmeter_view_dashboard,1437,244,249,305,316,351,155,463,0.0,False
jmeter_create_and_edit_page:create_page_editor,1274,211,187,282,289,331,117,418,0.0,False
jmeter_create_and_edit_page:create_page,1274,544,533,592,621,678,488,763,0.0,False
jmeter_create_and_edit_page:open_editor,1274,113,112,115,116,138,107,261,0.0,False
jmeter_create_and_edit_page:edit_page,1274,579,570,608,643,724,541,759,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1274,508,502,528,543,644,474,689,0.0,False
jmeter_create_blog:blog_editor,637,263,285,300,305,387,190,441,0.0,False
jmeter_create_blog:feel_and_publish,637,927,1012,1110,1139,1255,553,1314,0.0,False
jmeter_search_cql:recently_viewed,1593,98,90,131,136,157,56,279,0.0,False
jmeter_search_cql:search_results,1593,253,249,281,298,396,193,584,0.0,False
jmeter_comment_page,1110,128,120,160,171,223,89,303,0.0,False
jmeter_view_attachment,791,482,470,611,640,759,306,857,0.0,False
jmeter_upload_attachment,853,972,920,1258,1344,1482,615,1941,0.0,False
jmeter_like_page,463,154,137,185,188,203,113,309,0.0,False
selenium_login:open_login_page,99,132,121,131,160,269,116,723,0.0,False
selenium_login:login_and_view_dashboard,99,293,291,318,326,430,249,441,0.0,False
selenium_view_blog,99,1350,1389,1630,1775,1934,646,2026,0.0,False
selenium_view_dashboard,99,199,192,237,241,342,161,367,0.0,False
selenium_view_page,99,674,670,823,892,1165,432,1216,0.0,False
selenium_view_page_from_cache,99,421,388,544,561,622,305,640,0.0,False
selenium_create_page:open_create_page_editor,99,533,523,551,565,672,472,1230,0.0,False
selenium_create_page:save_created_page,99,373,365,422,446,466,279,541,0.0,False
selenium_edit_page_by_url:open_create_page_editor,99,492,482,587,629,693,371,830,0.0,False
selenium_edit_page_by_url:save_edited_page,99,478,446,613,647,844,358,1052,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,99,404,391,502,519,533,300,556,0.0,False
selenium_quick_edit_page_click:save_edited_page,99,427,401,543,560,591,322,684,0.0,False
selenium_create_comment:write_comment,99,1104,1103,1455,1519,1606,568,2011,0.0,False
selenium_create_comment:save_comment,99,584,579,632,660,674,213,699,0.0,False
selenium_create_comment,99,2274,2233,2630,2704,2767,1763,3152,0.0,False
zscale_specific_user_login,297,1116,1107,1483,1527,1596,602,1676,0.0,True
view_test_cases_by_status_action,99,599,578,673,696,780,505,1379,0.0,True
view_test_cases_by_project_action,99,565,554,618,648,670,509,671,0.0,True
view_test_cases_by_folder_action,99,550,544,592,620,640,458,643,0.0,True
selenium_log_out,99,238,237,248,250,259,220,275,0.0,False
