Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,706,359,443,479,17194,300,20213,0.0,False
jmeter_view_dashboard,4232,167,161,200,225,273,121,584,0.0,False
jmeter_view_issue,14412,250,241,297,332,407,188,961,0.0,False
jmeter_search_jql,4666,595,579,699,746,848,430,1646,0.0,False
jmeter_view_scrum_board,3390,219,209,271,315,386,149,652,0.0,False
jmeter_view_backlog,2533,367,357,435,474,561,272,941,0.0,False
jmeter_create_issue:open_quick_create,1697,60,56,74,92,124,43,172,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,176,168,216,243,291,131,494,0.0,False
jmeter_view_kanban_board,2956,262,252,346,377,443,144,650,0.0,False
jmeter_browse_projects,3798,90,87,106,119,154,67,257,0.0,False
jmeter_edit_issue:open_editor,2113,121,116,141,158,201,92,301,0.0,False
jmeter_edit_issue:save_edit,2113,308,296,365,411,496,186,764,0.0,False
jmeter_view_project_summary,1267,138,129,178,201,250,100,445,0.0,False
jmeter_add_comment:open_comment,841,93,91,107,114,145,71,190,0.0,False
jmeter_add_comment:save_comment,840,302,287,377,405,485,232,698,0.0,False
jmeter_browse_boards,414,102,100,119,125,149,80,171,0.0,False
selenium_login:open_login_page,143,1184,1176,1188,1192,1226,1147,2296,0.0,False
selenium_login:login_and_view_dashboard,143,2280,2235,3432,3601,3695,523,3731,0.0,False
selenium_login,143,3478,3459,4622,4798,4888,1711,4924,0.0,False
selenium_project_summary,143,337,306,404,485,537,279,2167,0.0,False
selenium_browse_projects_list,143,260,253,285,307,366,220,378,0.0,False
selenium_browse_boards_list,143,232,195,227,302,1452,172,2035,0.0,False
selenium_create_issue:open_quick_create,143,1454,1449,2067,2119,2206,670,2356,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,143,1332,1324,1927,2004,2054,623,2066,0.0,False
selenium_create_issue:fill_and_submit_issue_form,143,1944,1967,2557,2601,2717,1205,2739,0.0,False
selenium_create_issue,143,3399,3417,4612,4742,4885,1947,4995,0.0,False
selenium_edit_issue:open_edit_issue_form,143,418,412,436,446,508,380,1087,0.0,False
selenium_edit_issue:save_edit_issue_form,143,581,545,659,739,914,478,2420,0.0,False
selenium_edit_issue,143,1701,1668,1802,1852,2124,1511,4282,0.0,False
selenium_save_comment:open_comment_form,143,200,195,210,230,305,177,371,0.0,False
selenium_save_comment:submit_form,143,520,513,563,587,667,449,707,0.0,False
selenium_save_comment,143,2037,2033,2664,2746,2802,876,2908,0.0,False
selenium_search_jql,143,1410,1412,1924,2027,2091,780,2651,0.0,False
selenium_view_scrum_board_backlog,143,1619,1631,2145,2189,2261,772,2320,0.0,False
selenium_view_scrum_board,143,1484,1480,2059,2141,2207,752,2210,0.0,False
selenium_view_kanban_board,143,1482,1485,2052,2133,2208,708,2252,0.0,False
selenium_view_dashboard,143,212,209,237,246,276,180,291,0.0,False
selenium_view_issue,143,418,412,467,474,542,353,595,0.0,False
selenium_log_out,143,667,305,1725,2024,3196,281,3402,0.0,False
