Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,724,664,973,1049,1161,503,1274,0.0,False
jmeter_view_issue,14409,552,546,668,709,803,308,1126,0.0,False
jmeter_search_jql,4665,1018,987,1224,1308,1566,581,2154,0.0,False
jmeter_view_dashboard,4231,313,305,415,451,540,146,826,0.0,False
jmeter_view_scrum_board,3389,423,417,558,597,697,190,869,0.0,False
jmeter_view_backlog,2533,650,645,792,843,958,370,1369,0.0,False
jmeter_create_issue:open_quick_create,1697,124,118,177,194,231,60,298,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,609,607,673,695,751,473,928,0.0,False
jmeter_view_kanban_board,2955,483,468,626,674,782,211,1225,0.0,False
jmeter_browse_projects,3798,182,173,246,271,313,94,431,0.0,False
jmeter_edit_issue:open_editor,2113,298,294,381,409,475,166,594,0.0,False
jmeter_edit_issue:save_edit,2112,755,679,964,1326,1875,383,2729,0.0,False
jmeter_view_project_summary,1266,298,296,378,402,481,145,633,0.0,False
jmeter_add_comment:open_comment,840,196,186,258,286,341,120,504,0.0,False
jmeter_add_comment:save_comment,840,726,724,835,884,1017,514,1234,0.0,False
jmeter_browse_boards,414,210,205,272,294,358,116,408,0.0,False
selenium_login:open_login_page,102,124,118,138,162,176,97,400,0.0,False
selenium_login:login_and_view_dashboard,102,1098,918,1662,1685,1799,716,3600,0.0,False
selenium_login,102,1241,1052,1804,1847,1913,825,4019,0.0,False
selenium_project_summary,102,415,390,455,499,1208,305,2024,0.0,False
selenium_browse_projects_list,102,282,278,329,338,358,223,417,0.0,False
selenium_browse_boards_list,102,279,242,297,317,1377,207,2037,0.0,False
selenium_create_issue:open_quick_create,102,1192,1121,1888,1963,2111,611,2132,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,102,1731,1723,2331,2501,2562,624,2582,0.0,False
selenium_create_issue:fill_and_submit_issue_form,102,2353,2362,3022,3108,3246,1184,3304,0.0,False
selenium_create_issue,102,3546,3538,4629,5043,5257,1879,5415,0.0,False
selenium_edit_issue:open_edit_issue_form,102,519,492,622,695,911,401,923,0.0,False
selenium_edit_issue:save_edit_issue_form,102,596,583,684,738,837,477,936,0.0,False
selenium_edit_issue,102,1765,1660,2182,2452,3247,1415,3353,0.0,False
selenium_save_comment:open_comment_form,102,254,245,316,338,375,184,456,0.0,False
selenium_save_comment:submit_form,102,967,965,1075,1097,1159,771,1277,0.0,False
selenium_save_comment,102,2562,2556,3156,3208,3374,1294,3448,0.0,False
selenium_search_jql,102,1869,1788,2388,2494,3421,1146,3793,0.0,False
selenium_view_scrum_board_backlog,102,1776,1864,2247,2298,2404,827,2528,0.0,False
selenium_view_scrum_board,102,1577,1577,2143,2229,2281,843,2337,0.0,False
selenium_view_kanban_board,102,1604,1588,2143,2192,2293,751,2362,0.0,False
selenium_view_dashboard,102,509,499,563,645,820,413,1109,0.0,False
selenium_view_issue,102,634,636,748,784,858,454,937,0.0,False
zephyr_scale_view_test_case_in_issue_view,102,721,696,832,881,1291,520,1748,0.0,True
zephyr_scale_view_test_cycle_in_issue_view,102,707,672,816,835,2258,483,2460,0.0,True
zephyr_scale_view_test_plan_in_issue_view,102,681,639,781,834,1757,473,2021,0.0,True
selenium_log_out,102,377,370,435,456,510,312,566,0.0,False
