Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1183,768,1203,2368,11706,533,14329,0.0,False
jmeter_view_dashboard,4233,196,192,227,245,281,132,593,0.0,False
jmeter_view_issue,14412,354,346,395,418,467,288,3467,0.0,False
jmeter_view_scrum_board,3390,258,252,319,342,386,181,976,0.0,False
jmeter_search_jql,4666,711,698,783,819,904,585,5710,0.0,False
jmeter_view_backlog,2533,420,415,461,479,526,331,4460,0.0,False
jmeter_create_issue:open_quick_create,1697,107,104,118,125,154,81,2151,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,507,500,540,558,595,459,3261,0.0,False
jmeter_browse_projects,3798,104,102,118,126,153,84,648,0.0,False
jmeter_view_kanban_board,2956,297,287,360,386,485,196,3727,0.0,False
jmeter_edit_issue:open_editor,2113,192,188,216,230,263,153,827,0.0,False
jmeter_edit_issue:save_edit,2113,597,548,736,840,1403,284,1650,0.0,False
jmeter_view_project_summary,1267,184,181,207,220,251,145,540,0.0,False
jmeter_add_comment:open_comment,841,138,135,156,167,191,110,472,0.0,False
jmeter_add_comment:save_comment,840,569,562,615,639,698,494,829,0.0,False
jmeter_browse_boards,414,118,115,135,144,159,98,282,0.0,False
selenium_login:open_login_page,105,113,105,117,129,373,96,406,0.0,False
selenium_login:login_and_view_dashboard,105,949,886,1089,1551,1636,754,2327,0.0,False
selenium_login,105,1087,1006,1293,1718,2165,877,2751,0.0,False
selenium_project_summary,105,394,375,436,458,725,314,1405,0.0,False
selenium_browse_projects_list,105,277,269,312,343,408,220,514,0.0,False
selenium_browse_boards_list,105,250,224,275,305,969,203,1009,0.0,False
selenium_create_issue:open_quick_create,105,1088,812,1978,2067,2180,641,2198,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,105,1424,1366,1979,2072,2249,698,3212,0.0,False
selenium_create_issue:fill_and_submit_issue_form,105,2051,1997,2618,2740,2921,1322,3902,0.0,False
selenium_create_issue,105,3140,2910,4521,4800,5024,2013,5091,0.0,False
selenium_edit_issue:open_edit_issue_form,105,479,464,525,552,793,411,822,0.0,False
selenium_edit_issue:save_edit_issue_form,105,549,535,616,626,686,476,708,0.0,False
selenium_edit_issue,105,1550,1537,1636,1661,1813,1438,1937,0.0,False
selenium_save_comment:open_comment_form,105,212,202,248,263,304,183,331,0.0,False
selenium_save_comment:submit_form,105,880,868,958,991,1054,776,1100,0.0,False
selenium_save_comment,105,2465,2463,3103,3191,3362,1526,3402,0.0,False
selenium_search_jql,105,1740,1713,2265,2334,2388,1071,3776,0.0,False
selenium_view_scrum_board_backlog,105,1772,1845,2260,2362,2424,832,2516,0.0,False
selenium_view_scrum_board,105,1590,1579,2217,2290,2367,814,2425,0.0,False
selenium_view_kanban_board,105,1601,1570,2149,2261,2328,793,2369,0.0,False
selenium_view_dashboard,105,514,507,545,579,730,434,1133,0.0,False
selenium_view_issue,105,551,538,631,679,723,452,913,0.0,False
zephyr_scale_view_test_case_in_issue_view,105,636,626,702,742,1166,522,1222,0.0,True
zephyr_scale_view_test_cycle_in_issue_view,105,597,589,661,720,766,487,788,0.0,True
zephyr_scale_view_test_plan_in_issue_view,105,553,548,623,651,703,456,704,0.0,True
selenium_log_out,105,360,354,391,400,434,325,500,0.0,False
