Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,912,906,False
jmeter_view_page:open_page,318,327,False
jmeter_view_dashboard,854,872,False
jmeter_comment_page,80,80,False
jmeter_view_attachment,256,264,False
jmeter_view_blog,489,501,False
jmeter_create_and_edit_page:create_page_editor,149,152,False
jmeter_create_and_edit_page:create_page,346,352,False
jmeter_create_and_edit_page:open_editor,52,50,False
jmeter_search_cql:recently_viewed,25,25,False
jmeter_search_cql:search_results,516,519,False
jmeter_create_and_edit_page:edit_page,392,401,False
jmeter_create_blog:blog_editor,164,165,False
jmeter_create_blog:feel_and_publish,543,555,False
jmeter_upload_attachment,500,516,False
jmeter_like_page,42,41,False
selenium_login:open_login_page,141,180,False
selenium_login:login_and_view_dashboard,315,320,False
selenium_login,533,571,False
selenium_view_page,608,803,False
selenium_create_page:open_create_page_editor,900,1040,False
selenium_create_page:save_created_page,733,1302,False
selenium_create_page,1747,2462,False
selenium_edit_page:open_create_page_editor,2522,5341,False
selenium_edit_page:save_edited_page,883,1164,False
selenium_edit_page,3366,6216,False
selenium_create_comment:write_comment,730,729,False
selenium_create_comment:save_comment,657,661,False
selenium_create_comment,1739,1878,False
selenium_view_blog,668,953,False
selenium_view_dashboard,249,292,False
zscale_specific_user_login,508,686,True
view_test_cases_by_status_action,20577,824,True
view_test_cases_by_project_action,20591,820,True
view_test_cases_by_folder_action,20576,831,True
selenium_log_out,142,230,False
