Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,389,306,359,415,2265,267,5189,0.0,False
jmeter_view_page:open_page,5289,657,661,780,817,898,407,3227,0.0,False
jmeter_view_dashboard,1436,250,250,317,326,341,158,550,0.0,False
jmeter_create_and_edit_page:create_page_editor,1274,223,206,297,308,327,123,565,0.0,False
jmeter_create_and_edit_page:create_page,1274,591,580,655,683,776,508,1156,0.0,False
jmeter_create_and_edit_page:open_editor,1274,116,115,120,121,130,109,252,0.0,False
jmeter_view_blog,2071,1183,1177,1432,1808,2156,510,4559,0.0,False
jmeter_create_and_edit_page:edit_page,1274,632,623,677,699,791,558,1032,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1274,557,551,597,616,671,493,894,0.0,False
jmeter_create_blog:blog_editor,637,277,289,323,332,417,202,1427,0.0,False
jmeter_search_cql:recently_viewed,1593,98,100,133,139,165,60,368,0.0,False
jmeter_search_cql:search_results,1592,249,246,281,300,350,170,578,0.0,False
jmeter_create_blog:feel_and_publish,637,1021,1092,1216,1255,1347,577,3061,0.0,False
jmeter_comment_page,1110,152,151,190,208,248,94,628,0.0,False
jmeter_view_attachment,791,499,484,644,680,773,311,1222,0.0,False
jmeter_upload_attachment,928,976,934,1233,1316,1513,647,1942,0.0,False
jmeter_like_page,463,161,149,196,198,216,114,288,0.0,False
selenium_login:open_login_page,91,138,126,134,166,339,118,817,0.0,False
selenium_login:login_and_view_dashboard,91,342,334,358,374,525,269,988,0.0,False
selenium_view_blog,91,1454,1460,1728,2120,2689,623,4888,0.0,False
selenium_view_dashboard,91,206,185,276,340,364,167,369,0.0,False
selenium_view_page,91,689,664,904,972,1081,500,1238,0.0,False
selenium_view_page_from_cache,91,413,381,506,538,687,345,697,0.0,False
selenium_create_page:open_create_page_editor,91,556,540,575,658,915,461,1212,0.0,False
selenium_create_page:save_created_page,91,386,379,415,454,532,330,616,0.0,False
selenium_edit_page_by_url:open_create_page_editor,91,527,532,608,630,682,384,741,0.0,False
selenium_edit_page_by_url:save_edited_page,91,522,493,689,753,864,379,919,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,91,434,400,555,644,703,331,712,0.0,False
selenium_quick_edit_page_click:save_edited_page,91,475,431,667,697,758,363,814,0.0,False
selenium_create_comment:write_comment,91,1151,1154,1522,1550,1627,608,1673,0.0,False
selenium_create_comment:save_comment,91,589,580,625,659,665,575,670,0.0,False
selenium_create_comment,91,2408,2409,2795,2828,2893,1855,2896,0.0,False
zscale_specific_user_login,273,1203,1204,1589,1622,1687,630,1775,0.0,True
view_test_cases_by_status_action,91,633,609,705,740,863,541,1403,0.0,True
view_test_cases_by_project_action,91,602,574,716,767,860,482,955,0.0,True
view_test_cases_by_folder_action,91,580,573,630,660,760,449,768,0.0,True
selenium_log_out,91,472,243,269,293,2427,216,20698,1.0,False
