Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1200,1165,1350,1436,1620,1046,2342,0.0,False
jmeter_view_dashboard,4231,671,653,755,774,827,565,949,0.0,False
jmeter_view_issue,14406,788,776,862,894,977,658,2591,0.0,False
jmeter_view_scrum_board,3388,821,817,982,1025,1118,636,2364,0.0,False
jmeter_search_jql,4663,1569,1550,1715,1778,1931,1321,4342,0.0,False
jmeter_create_issue:open_quick_create,1697,245,225,320,331,375,193,717,0.0,False
jmeter_view_backlog,2532,1051,1066,1244,1290,1386,717,3087,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1696,313,298,380,413,477,242,1084,0.0,False
jmeter_view_kanban_board,2954,782,763,885,927,1007,659,1382,0.0,False
jmeter_browse_projects,3797,338,326,390,407,448,274,566,0.0,False
jmeter_edit_issue:open_editor,2113,476,462,537,560,609,403,759,0.0,False
jmeter_edit_issue:save_edit,2112,945,925,1038,1108,1262,822,1688,0.0,False
jmeter_view_project_summary,1266,635,624,692,715,772,558,923,0.0,False
jmeter_add_comment:open_comment,840,439,424,489,506,556,378,656,0.0,False
jmeter_add_comment:save_comment,840,845,834,924,965,1038,715,1290,0.0,False
jmeter_browse_boards,414,395,382,448,457,496,342,593,0.0,False
selenium_login:open_login_page,34,178,158,178,183,574,145,763,0.0,False
selenium_login:login_and_view_dashboard,34,2137,2071,2199,2232,4838,670,6100,0.0,False
selenium_login,34,2316,2229,2349,2388,5402,834,6864,0.0,False
selenium_project_summary,34,555,470,531,553,2326,356,3186,0.0,False
selenium_browse_projects_list,34,352,354,388,391,420,293,433,0.0,False
selenium_browse_boards_list,34,906,860,949,951,2040,751,2577,0.0,False
selenium_create_issue:open_quick_create,34,771,758,831,838,1017,679,1105,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,34,699,696,784,804,834,595,849,0.0,False
selenium_create_issue:fill_and_submit_issue_form,34,1297,1286,1410,1451,1463,1142,1469,0.0,False
selenium_create_issue,34,2069,2044,2263,2278,2299,1861,2304,0.0,False
selenium_edit_issue:open_edit_issue_form,34,476,450,518,528,1015,402,1255,0.0,False
selenium_edit_issue:save_edit_issue_form,34,516,502,575,609,632,473,632,0.0,False
selenium_edit_issue,34,1961,1960,2061,2084,2485,1692,2673,0.0,False
selenium_save_comment:open_comment_form,34,249,242,274,290,361,222,395,0.0,False
selenium_save_comment:submit_form,34,751,687,756,790,2248,600,2935,0.0,False
selenium_save_comment,34,1748,1706,1821,1862,3281,1455,3965,0.0,False
selenium_search_jql,34,1611,1674,2088,2118,2506,750,2683,0.0,False
selenium_view_scrum_board_backlog,34,1112,1034,1310,1332,2463,805,3015,0.0,False
selenium_view_scrum_board,34,951,882,1057,1070,2024,774,2488,0.0,False
selenium_view_kanban_board,34,987,944,1215,1231,1347,788,1397,0.0,False
selenium_view_dashboard,34,286,285,314,321,332,240,332,0.0,False
selenium_view_issue,34,521,506,618,640,661,409,668,0.0,False
zephyr_scale_view_test_case_in_issue_view,34,20591,20544,20771,20806,21939,20246,22488,100.0,True
zephyr_scale_view_test_cycle_in_issue_view,34,20599,20593,20828,20882,20900,20323,20904,100.0,True
zephyr_scale_view_test_plan_in_issue_view,34,20607,20597,20834,20912,20991,20305,21015,100.0,True
selenium_log_out,34,502,497,535,538,561,454,572,0.0,False
