Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,442,384,541,581,1353,295,4000,0.0,False
jmeter_view_issue,14413,242,236,277,293,335,194,1743,0.0,False
jmeter_search_jql,4667,569,560,642,672,742,437,1626,0.0,False
jmeter_view_dashboard,4233,159,154,189,202,240,120,341,0.0,False
jmeter_view_backlog,2534,329,320,371,390,453,273,1059,0.0,False
jmeter_view_scrum_board,3390,213,207,257,275,317,151,1819,0.0,False
jmeter_create_issue:open_quick_create,1697,68,65,76,80,108,58,499,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,162,158,183,194,221,134,831,0.0,False
jmeter_view_kanban_board,2956,244,239,309,333,382,146,982,0.0,False
jmeter_browse_projects,3799,86,82,102,109,130,68,198,0.0,False
jmeter_edit_issue:open_editor,2114,119,116,138,146,183,93,342,0.0,False
jmeter_edit_issue:save_edit,2113,302,290,356,386,486,191,692,0.0,False
jmeter_view_project_summary,1267,135,133,154,166,188,106,301,0.0,False
jmeter_add_comment:open_comment,841,89,87,102,107,134,73,240,0.0,False
jmeter_add_comment:save_comment,841,278,271,314,331,372,226,460,0.0,False
jmeter_browse_boards,414,100,97,113,120,157,82,303,0.0,False
selenium_login:open_login_page,126,1206,1180,1192,1200,1235,1165,4258,0.0,False
selenium_login:login_and_view_dashboard,126,2403,2438,3621,3761,3962,666,4007,0.0,False
selenium_login,126,3626,3630,4814,5027,5227,1874,8205,0.0,False
selenium_project_summary,126,378,327,520,586,604,292,3096,0.0,False
selenium_browse_projects_list,126,265,259,288,299,410,234,467,0.0,False
selenium_browse_boards_list,126,232,205,250,296,392,183,2217,0.0,False
selenium_create_issue:open_quick_create,126,1477,1454,2100,2150,2215,739,2418,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,126,1369,1368,1991,2076,2144,630,2160,0.0,False
selenium_create_issue:fill_and_submit_issue_form,126,1986,1996,2603,2670,2798,1196,2840,0.0,False
selenium_create_issue,126,3465,3479,4694,4836,5014,1936,5166,0.0,False
selenium_edit_issue:open_edit_issue_form,126,432,423,452,470,571,383,1211,0.0,False
selenium_edit_issue:save_edit_issue_form,126,646,606,700,762,902,537,3933,0.0,False
selenium_edit_issue,126,1809,1759,1888,1920,2120,1609,5968,0.0,False
selenium_save_comment:open_comment_form,126,205,198,220,260,326,160,351,0.0,False
selenium_save_comment:submit_form,126,570,560,622,657,768,502,837,0.0,False
selenium_save_comment,126,2135,2124,2794,2856,2937,945,2992,0.0,False
selenium_search_jql,126,1601,1596,2176,2239,2358,899,3316,0.0,False
selenium_view_scrum_board_backlog,126,1763,1806,2304,2388,2421,855,2686,0.0,False
selenium_view_scrum_board,126,1595,1580,2184,2283,2356,819,2503,0.0,False
selenium_view_kanban_board,126,1562,1527,2156,2218,2292,776,2314,0.0,False
selenium_view_dashboard,126,486,478,515,544,657,434,834,0.0,False
selenium_view_issue,126,478,472,512,546,596,416,685,0.0,False
zephyr_scale_view_test_case_in_issue_view,126,505,479,556,628,729,441,1616,0.0,True
zephyr_scale_view_test_cycle_in_issue_view,126,509,486,590,638,732,439,759,0.0,True
zephyr_scale_view_test_plan_in_issue_view,126,478,465,546,564,655,414,698,0.0,True
selenium_log_out,126,430,327,389,474,3002,299,3247,0.0,False
