Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,941,972,1184,1442,1687,504,1702,0.0,False
jmeter_view_issue,14409,439,436,465,476,503,382,687,0.0,False
jmeter_search_jql,4665,911,905,986,1013,1059,726,1176,0.0,False
jmeter_view_dashboard,4232,293,290,315,323,348,260,481,0.0,False
jmeter_view_scrum_board,3389,391,389,432,453,484,300,738,0.0,False
jmeter_view_backlog,2532,712,691,918,1004,1085,492,1187,0.0,False
jmeter_create_issue:open_quick_create,1697,159,152,190,195,217,123,329,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,543,536,577,596,655,487,949,0.0,False
jmeter_view_kanban_board,2955,394,377,486,506,534,339,708,0.0,False
jmeter_browse_projects,3798,163,160,178,183,194,141,347,0.0,False
jmeter_edit_issue:open_editor,2113,271,265,302,310,327,234,485,0.0,False
jmeter_edit_issue:save_edit,2112,617,600,651,781,1189,376,1347,0.0,False
jmeter_view_project_summary,1266,340,338,363,370,392,295,540,0.0,False
jmeter_add_comment:open_comment,840,224,222,239,246,258,200,400,0.0,False
jmeter_add_comment:save_comment,840,621,617,664,682,731,550,808,0.0,False
jmeter_browse_boards,414,199,197,214,218,232,180,265,0.0,False
selenium_login:open_login_page,186,129,126,133,136,152,116,513,0.0,False
selenium_login:login_and_view_dashboard,186,522,518,553,562,574,479,780,0.0,False
selenium_login,186,652,648,681,690,703,610,1294,0.0,False
selenium_browse_projects_list,186,284,282,296,302,321,264,428,0.0,False
selenium_browse_boards_list,186,805,812,830,835,869,753,874,0.0,False
selenium_create_issue:open_quick_create,186,669,670,691,702,739,617,792,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,186,810,700,1142,1150,1160,597,1165,0.0,False
selenium_create_issue:fill_and_submit_issue_form,186,1328,1236,1682,1707,1735,977,1747,0.0,False
selenium_create_issue,186,1997,1916,2357,2383,2419,1605,2452,0.0,False
selenium_edit_issue:open_edit_issue_form,186,455,452,474,484,507,426,636,0.0,False
selenium_edit_issue:save_edit_issue_form,186,539,522,558,706,826,488,852,0.0,False
selenium_edit_issue,186,1507,1484,1542,1714,1864,1421,2052,0.0,False
selenium_save_comment:open_comment_form,186,270,236,357,367,499,224,520,0.0,False
selenium_save_comment:submit_form,186,820,825,883,901,943,667,957,0.0,False
selenium_save_comment,186,1614,1686,1793,1832,1867,1196,1879,0.0,False
selenium_search_jql,186,1379,1368,1445,1479,1678,1214,2209,0.0,False
selenium_view_scrum_board_backlog,186,980,938,1311,1330,1382,824,1519,0.0,False
selenium_view_scrum_board,186,892,887,964,982,1051,813,1090,0.0,False
selenium_view_kanban_board,186,1213,1296,1482,1531,1595,787,1743,0.0,False
selenium_view_dashboard,186,244,230,298,318,346,211,433,0.0,False
selenium_view_issue,186,547,546,615,632,653,408,706,0.0,False
selenium_project_summary,186,360,279,829,910,925,237,938,0.0,False
selenium_log_out,186,377,371,414,428,451,334,465,0.0,False
