Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,879,870,939,979,1075,808,1089,0.0,False
jmeter_view_page:open_page,7068,248,230,319,347,457,142,1375,0.0,False
jmeter_view_dashboard,1222,815,815,871,890,981,755,1248,0.0,False
jmeter_comment_page,915,70,67,78,83,129,52,885,0.0,False
jmeter_view_attachment,615,190,168,258,280,348,134,493,0.0,False
jmeter_view_blog,1525,310,285,497,537,618,164,1129,0.0,False
jmeter_create_and_edit_page:create_page_editor,1062,142,136,151,158,293,118,1143,0.0,False
jmeter_create_and_edit_page:create_page,1057,296,276,357,379,465,247,1068,0.0,False
jmeter_create_and_edit_page:open_editor,1057,50,46,54,59,101,40,769,0.0,False
jmeter_search_cql:recently_viewed,1366,19,18,25,27,32,6,151,0.0,False
jmeter_search_cql:search_results,1366,480,474,519,533,611,258,706,0.0,False
jmeter_create_and_edit_page:edit_page,1036,346,325,420,451,562,294,999,0.0,False
jmeter_create_blog:blog_editor,452,158,150,167,179,367,133,822,0.0,False
jmeter_create_blog:feel_and_publish,452,320,282,515,533,672,258,988,0.0,False
jmeter_upload_attachment,749,363,336,489,550,648,266,779,0.0,False
jmeter_like_page,296,29,25,42,45,86,15,246,0.0,False
selenium_login:open_login_page,205,136,122,166,172,182,112,395,0.0,False
selenium_login:login_and_view_dashboard,205,266,259,293,304,316,235,321,0.0,False
selenium_login,205,472,470,514,520,547,429,791,0.0,False
selenium_view_page,205,578,559,671,713,978,462,1092,0.0,False
selenium_create_page:open_create_page_editor,205,944,938,1029,1057,1167,778,1611,0.0,False
selenium_create_page:save_created_page,205,788,676,802,1134,3772,614,4878,0.0,False
selenium_create_page,205,1869,1744,1992,2261,4769,1570,6084,0.0,False
selenium_edit_page:open_create_page_editor,205,3134,2714,5870,6380,7284,1086,7545,0.0,False
selenium_edit_page:save_edited_page,205,889,829,1150,1260,1372,689,1414,0.0,False
selenium_edit_page,205,4044,3612,6749,7330,8302,1893,8481,0.0,False
selenium_create_comment:write_comment,205,414,274,710,737,757,217,1190,0.0,False
selenium_create_comment:save_comment,205,528,616,657,660,666,132,677,0.0,False
selenium_create_comment,205,1451,1426,1822,1870,1912,845,1975,0.0,False
selenium_view_blog,205,722,694,908,984,1218,471,1391,0.0,False
selenium_view_dashboard,205,218,218,257,274,330,164,719,0.0,False
zscale_specific_user_login,615,444,435,491,515,594,380,827,0.0,True
view_test_cases_by_status_action,205,746,739,774,788,894,713,1209,0.0,True
view_test_cases_by_project_action,205,749,743,785,798,816,639,903,0.0,True
view_test_cases_by_folder_action,205,745,742,777,788,804,620,829,0.0,True
selenium_log_out,205,127,110,164,168,239,101,372,0.0,False
