Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,1099,1478,False
jmeter_view_issue,748,718,False
jmeter_search_jql,1473,1386,False
jmeter_view_dashboard,443,405,False
jmeter_view_scrum_board,622,539,False
jmeter_view_backlog,885,855,False
jmeter_create_issue:open_quick_create,200,189,False
jmeter_create_issue:fill_and_submit_issue_form,708,712,False
jmeter_view_kanban_board,674,644,False
jmeter_browse_projects,284,244,False
jmeter_edit_issue:open_editor,437,420,False
jmeter_edit_issue:save_edit,1088,1066,False
jmeter_view_project_summary,448,430,False
jmeter_add_comment:open_comment,303,244,False
jmeter_add_comment:save_comment,922,895,False
jmeter_browse_boards,310,199,False
selenium_login:open_login_page,166,141,False
selenium_login:login_and_view_dashboard,1599,1656,False
selenium_login,1766,1801,False
selenium_project_summary,448,448,False
selenium_browse_projects_list,326,327,False
selenium_browse_boards_list,369,297,False
selenium_create_issue:open_quick_create,1932,1864,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,2349,2304,False
selenium_create_issue:fill_and_submit_issue_form,2996,2935,False
selenium_create_issue,4865,4655,False
selenium_edit_issue:open_edit_issue_form,638,641,False
selenium_edit_issue:save_edit_issue_form,740,737,False
selenium_edit_issue,2279,1980,False
selenium_save_comment:open_comment_form,342,295,False
selenium_save_comment:submit_form,1112,1087,False
selenium_save_comment,3185,3140,False
selenium_search_jql,2445,2346,False
selenium_view_scrum_board_backlog,2163,2192,False
selenium_view_scrum_board,2079,2171,False
selenium_view_kanban_board,2097,2049,False
selenium_view_dashboard,333,560,False
selenium_view_issue,699,730,False
selenium_log_out,430,400,False
