Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,152,168,173,False
jmeter_view_page:open_page,335,324,317,False
jmeter_view_blog,517,466,472,False
jmeter_view_dashboard,93,85,81,False
jmeter_comment_page,99,103,111,False
jmeter_view_attachment,261,255,240,False
jmeter_search_cql:recently_viewed,46,42,40,False
jmeter_search_cql:search_results_2_words,1225,1113,1066,False
jmeter_create_and_edit_page:create_page_editor,105,99,96,False
jmeter_create_and_edit_page:create_page,333,309,303,False
jmeter_create_and_edit_page:open_editor,21,20,22,False
jmeter_create_and_edit_page:edit_page,332,311,331,False
jmeter_create_and_edit_page:quick_edit_page,311,292,288,False
jmeter_create_blog:blog_editor,128,120,115,False
jmeter_create_blog:feel_and_publish,456,426,449,False
jmeter_upload_attachment,527,496,491,False
jmeter_search_cql:search_results_3_words,1804,1649,1581,False
jmeter_upload_emoji,212,214,221,False
jmeter_like_page,47,46,46,False
selenium_login:open_login_page_dom,139,138,138,False
selenium_login:login_and_view_dashboard_dom,184,193,196,False
selenium_login,2630,2684,2687,False
selenium_view_blog_dom,981,962,968,False
selenium_view_blog,1875,1957,1946,False
selenium_view_dashboard_dom,414,430,404,False
selenium_view_dashboard,1530,1824,1675,False
selenium_view_page_dom,685,638,663,False
selenium_view_page,1387,1414,1362,False
selenium_view_page_from_cache_dom,503,456,492,False
selenium_view_page_from_cache,1105,920,1152,False
selenium_create_page:open_create_page_editor_dom,631,621,628,False
selenium_create_page:save_created_page_dom,462,458,459,False
selenium_create_page,3050,3042,3097,False
selenium_edit_page_by_url:open_create_page_editor_dom,608,609,617,False
selenium_edit_page_by_url:save_edited_page_dom,588,595,591,False
selenium_edit_page_by_url,5255,4898,4952,False
selenium_cql_search_two_words,5110,5113,4999,False
selenium_quick_edit_page_click:open_create_page_editor_dom,477,504,469,False
selenium_quick_edit_page_click:save_edited_page_dom,481,503,485,False
selenium_quick_edit_page_click,5065,5089,5032,False
selenium_create_comment:write_comment,2196,2221,2245,False
selenium_create_comment:save_comment,634,632,632,False
selenium_create_comment,3862,3801,3911,False
selenium_cql_search_three_words,5378,5439,5451,False
zscale_specific_user_login,2627,2652,2678,True
view_test_cases_by_status_action,790,794,784,True
view_test_cases_by_project_action,696,693,704,True
view_test_cases_by_folder_action,701,708,697,True
selenium_log_out,324,276,297,False
